,id,Message,length,country,Date
0,10120,Bugis oso near wat...,21,SG,2003/4
1,10121,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,SG,2003/4
2,10122,I dunno until when... Lets go learn pilates...,46,SG,2003/4
3,10123,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat...",140,SG,2003/4
4,10124,Meet after lunch la...,22,SG,2003/4
5,10125,m walking in citylink now ü faster come down... Me very hungry...,65,SG,2003/4
6,10126,5 nights...We nt staying at port step liao...Too ex,51,SG,2003/4
7,10127,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,81,SG,2003/4
8,10128,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn",160,SG,2003/4
9,10129,Hey tmr maybe can meet you at yck,33,SG,2003/4
10,10130,Oh...i asked for fun. Haha...take care. ü,41,SG,2003/4
11,10131,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,132,SG,2003/4
12,10132,t finish my film yet...,23,SG,2003/4
13,10133,m having dinner with my cousin...,33,SG,2003/4
14,10134,Oh... Kay... On sat right?,26,SG,2003/4
15,10135,I need... Coz i never go before,31,SG,2003/4
16,10136,s a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,114,SG,2003/4
17,10137,I am going to sao mu today. Will be done only at 12,51,SG,2003/4
18,10138,Hey gals...U all wanna meet 4 dinner at nìte?,45,SG,2003/4
19,10139,Jos ask if u wana meet up?,26,SG,2003/4
20,10140,Haiyoh... Maybe your hamster was jealous of million,51,SG,2003/4
21,10141,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,63,SG,2003/4
22,10142,ve booked the pilates and yoga lesson already... Haha,53,SG,2003/4
23,10143,Yup... I havent been there before... You want to go for the yoga? I can call up to book,87,SG,2003/4
24,10144,K... Must book a not huh? so going for yoga basic on sunday?,60,SG,2003/4
25,10145,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,79,SG,2003/4
26,10146,Sat right? Okay thanks...,25,SG,2003/4
27,10147,Yup... From what i remb... I think should be can book...,56,SG,2003/4
28,10148,m going to get specs. My membership is PX3748,45,SG,2003/4
29,10149,We can go 4 e normal pilates after our intro...,47,SG,2003/4
30,10150,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...,118,SG,2003/4
31,10151,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",82,SG,2003/4
32,10152,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",58,SG,2003/4
33,10153,Wah... Okie okie... Muz make use of e unlimited... Haha...,58,SG,2003/4
34,10154,ll go yan jiu den msg u...,26,SG,2003/4
35,10155,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",155,SG,2003/4
36,10156,"ll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...",83,SG,2003/4
37,10157,Nope... Juz off from work...,28,SG,2003/4
38,10158,Oh oh... Wasted... Den muz chiong on sat n sun liao...,54,SG,2003/4
39,10159,"Haha... Sounds crazy, dunno can tahan anot...",45,SG,2003/4
40,10160,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",93,SG,2003/4
41,10161,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",125,SG,2003/4
42,10162,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",107,SG,2003/4
43,10163,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..",159,SG,2003/4
44,10164,"s ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",116,SG,2003/4
45,10165,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,69,SG,2003/4
46,10166,s nt much lesson to go if we attend kb on sat...,48,SG,2003/4
47,10167,Den wat will e schedule b lk on sun?,36,SG,2003/4
48,10168,Eh den sat u book e kb liao huh...,34,SG,2003/4
49,10169,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke,79,SG,2003/4
50,10170,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,122,SG,2003/4
51,10171,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,142,SG,2003/4
52,10172,Hey... are you going to quit soon? Xuhui and i working till end of the month,76,SG,2003/4
53,10173,s a kb lesson tonight,21,SG,2003/4
54,10174,Hey so whats the plan this sat?,31,SG,2003/4
55,10175,ve woken up...,14,SG,2003/4
56,10176,Hey i will be late ah... Meet you at 945+,41,SG,2003/4
57,10177,Hey tmr meet at bugis 930 ?,27,SG,2003/4
58,10178,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel,111,SG,2003/4
59,10179,Haha... Yup hopefully we will lose a few kg by mon. after hip hop can go orchard and weigh again,97,SG,2003/4
60,10180,ve booked the 2 lessons on sun liao...,38,SG,2003/4
61,10181,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",119,SG,2003/4
62,10182,Oh... Okie lor...We go on sat...,32,SG,2003/4
63,10183,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up...",133,SG,2003/4
64,10184,"ll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",97,SG,2003/4
65,10185,"m still sleepin, haha... Okie, u go home liao den confirm w me lor...",69,SG,2003/4
66,10186,"m nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",101,SG,2003/4
67,10187,m eatin too much n puttin on weight...Haha... So anythin special happened?,74,SG,2003/4
68,10188,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,123,SG,2003/4
69,10189,"m eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",104,SG,2003/4
70,10190,Goin to workout lor... Muz lose e fats...,41,SG,2003/4
71,10191,ve oredi booked slots 4 my weekends liao...,43,SG,2003/4
72,10192,"I noe la... U wana pei bf oso rite... K lor, other days den...",62,SG,2003/4
73,10193,U meet other fren dun wan meet me ah... Muz b a guy rite...,59,SG,2003/4
74,10194,"Oh... Icic... K lor, den meet other day...",42,SG,2003/4
75,10195,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",115,SG,2003/4
76,10196,U attend ur driving lesson how many times a wk n which day?,59,SG,2003/4
77,10197,Ay wana meet on sat?ü wkg on sat?,33,SG,2003/4
78,10198,Shopping? Eh ger i toking abt syd leh...Haha,44,SG,2003/4
79,10199,s é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),86,SG,2003/4
80,10200,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,78,SG,2003/4
81,10201,Okay... I booked all already... Including the one at bugis.,59,SG,2003/4
82,10202,Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?,68,SG,2003/4
83,10203,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,101,SG,2003/4
84,10204,Hey we can go jazz power yoga hip hop kb and yogasana,53,SG,2003/4
85,10205,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",102,SG,2003/4
86,10206,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,80,SG,2003/4
87,10207,Wa... U so efficient... Gee... Thanx...,39,SG,2003/4
88,10208,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",71,SG,2003/4
89,10209,s e best choice den we juz have to take it...,45,SG,2003/4
90,10210,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?,90,SG,2003/4
91,10211,"Until 545 lor... Ya, can go 4 dinner together...",48,SG,2003/4
92,10212,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",141,SG,2003/4
93,10213,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",131,SG,2003/4
